Q#,Subject,Section,Complexity,Question,Answer,Answer Choice Label,A,B,C,D,Marks
1,Systems,Systems,Medium,"Suppose you are building an Authentication Service, what will be the most secure way of storing passwords in the backend?",Hash password with a unique salt for each password,D,Encrypt password with a global symmetric key,Store password as binary data,Encode password using base64,Hash password with a unique salt for each password,3
2,Systems,Systems,Medium,"In a 4-node(identical servers) system, after electing Node B as the leader, the system notices that Node B is slow to respond and hasn't made any decisions in a while. The other nodes, A, C, and D, continue to wait for Node B to act. Which of the following might happen next?",The system will automatically demote Node B and re-elect a new leader after a timeout.,B,The system will continue waiting indefinitely for Node B to take action.,The system will automatically demote Node B and re-elect a new leader after a timeout.,Node A will take over leadership responsibilities without a formal election.,The system will send more votes to Node B to encourage faster decision-making.,3
3,Systems,Systems,Medium,Would having a lot of unused data in a table affect query performance?,"Yes, Index and Sequential Scan can become inefficient",B,"No, queries fetch only the required data from disk","Yes, Index and Sequential Scan can become inefficient",Only sequential scans will be inefficient.,Only Index scan will be inefficient.,3
4,Systems,Systems,Medium,"An OS scheduler uses strict priority scheduling on a single core. If a low-priority process is ready to run, but a higher-priority process arrives while the low-priority process is running, what happens?","The low-priority process is preempted, and the high-priority process runs.",B,The low-priority process continues until it finishes.,"The low-priority process is preempted, and the high-priority process runs.",Both processes run simultaneously.,The high-priority process is put on hold until the low-priority process finishes.,3
5,Systems,Systems,Medium,What part of ACID properties does a RAM based database sacrifice?,durability,D,atomicity,consistency,isolation,durability,3
6,Systems,Systems,Medium,"Consider the following example, when you have to run an executable on your machine which of the following is a must?",The executable should have been built for both OS and processor architecture.,C,The executable should have been built for the OS on your machine,The executable should have been built for your processor architecture.,The executable should have been built for both OS and processor architecture.,"None of the above matters, you can just run it",3
7,Systems,Systems,Medium,"Consider a system running three processes (P1, P2, P3) with equal priority using round-robin scheduling with a time slice of 4 units. The processes have burst times of 8, 4, and 6 units respectively. What is the turnaround time for P3?",18 units,D,12 units,14 units,16 units,18 units,3
8,Mathematics,Maths_1,Hard,Two friends agree to meet at a café between 3:00 PM and 4:00 PM. Each arrives at a random time and waits for 10 minutes. What is the probability that both meet at the cafe?,0.31,A,0.31,0.33,0.28,0.25,5
9,Mathematics,Maths_2,Easy,Two players play a game where Player 1 rolls two fair 6-sided dice and Player 2 rolls fair 6-sided one die. Player 1 wins if the sum of their dice is greater than Player 2's die. What is the probability that Player 1 wins?,181/216,A,181/216,173/216,190/216,165/216,3
10,Physics,Physics,Hard,"A tank has water filled in it and kept on a frictionless surface. How much time does it take to empty it? The Tank is cylindrical of height h = 10 m and diameter d = 20 cm. How much time will it take to empty the tank? There is a hole of diameter 2 cm. Density of liquid = 1 Kg/m^3, g = 10 m/s^2, Mass of tank = π/100 kg",141.4 sec,A,141.4 sec,173.2 sec,200 sec,100 sec,7
11,Physics,Physics,Medium,A conical frictionless vessel with base facing up and tip facing down is set up on the ground. The radius at the top is r1 = 5m and radius at the base is r2 = 3 m (imagine that the tip of the cone is cut). Height of the cut piece is h = 4m. This vessel is rotating at angular velocity of Ω = 10 (s^-1). A mass is kept at the slant surface from the top larger end of the cone.Time taken by the mass to reach the ground?,1 sec,B,2/sqrt(5) sec,1 sec,Will not reach to the bottom and rotates in circular motion at the top,Will take infinite time to reach the bottom (speed slows down as it goes down),3
12,Computer Science,CS1,Medium,Let us say we have a linked list (with pointer to only start element) & dynamic array whose size can change at runtime (implemented exactly like vectors). Which of the following operations will take different amortized(average) time complexity to execute? ,Adding an element from the end of both data structures,D,Deleting an element at the middle of both data structures,Adding an element at the middle of both data structures,Finding an element from the beginning of both data structures,Adding an element from the end of both data structures,3
13,Computer Science,CS2,Medium,What all use cases best fit queue data structure? a. To keep a track of local variables during runtime b. To transfer data between two asynchronous process c. To handle the hardware or real-time system interrupts d. For evaluation of mathematical expression,"b,c",B,"a,b,c","b,c","c,d","a,d",3
14,Computer Science,CS3,Medium,"You are developing a recommendation system for an e-commerce platform that suggests products based on user preferences and past interactions. To represent the relationship between users and products efficiently, which graph property would you focus on?",The graph should be weighted to represent the preferences between users and products.,A,The graph should be weighted to represent the preferences between users and products.,"The graph should have nodes that represent products only, ignoring users.",The graph should have many disconnected components for faster processing.,The graph should support bidirectional edges to recommend users to products as well.,3
15,Computer Science,CS4,Medium,"Consider a graph with n vertices where each edge has a weight of 1. If you need to find the shortest path from a source to all other nodes, why would Breadth-First Search (BFS) be preferred over Dijkstra's algorithm(to find the shortest path using priority queue) in this case?",BFS has a lower time complexity for graphs with uniform edge weights,A,BFS has a lower time complexity for graphs with uniform edge weights,BFS can handle graphs with both positive & negative edge weights,BFS guarantees finding the shortest path in weighted graphs,Dijkstra's algorithm will be preferred here rather than BFS because BFS will give incorrect result,3
16,Computer Science,CS5,Medium,"The function should return the maximum value that can be achieved with a given weight limit. Complete the missing line. def func(weights, values, W): n = len(weights) dp = [[0 for _ in range(W + 1)] for _ in range(n + 1)] for i in range(1, n + 1): for w in range(1, W + 1): if weights[i - 1] <= w: ___________________________ else: dp[i][w] = dp[i - 1][w] return dp[n][W] What should fill the blank? ","dp[i][w] = max(dp[i - 1][w], values[i - 1] + dp[i - 1][w - weights[i - 1]])",A,"dp[i][w] = max(dp[i - 1][w], values[i - 1] + dp[i - 1][w - weights[i - 1]])","dp[i][w] = max(dp[i - 1][w], values[i] + dp[i - 1][w - weights[i - 1]])","dp[i][w] = max(dp[i - 1][w], values[i] + dp[i - 1][w + weights[i - 1]])","dp[i][w] = max(dp[i - 1][w], values[i] + dp[i - 1][w - weights[i]])",3
